run_idx,start_idx,end_idx,skip_range,search_skip_layers,total_skip_layers,l2_mean,l2_max,l2_std,value_diff_mean,value_diff_max,bin_idx_dist_mean,bin_idx_dist_max,bin_idx_dist_std,anomalies,has_nan,has_inf,has_extremes,always_exclude_layers,always_include_layers
69,0,26,0-26,27,27,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
70,1,1,1-1,1,1,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
71,1,2,1-2,2,2,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
72,1,3,1-3,3,3,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
73,1,4,1-4,4,4,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
74,1,5,1-5,5,5,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
75,1,6,1-6,6,6,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
76,1,7,1-7,7,7,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
77,1,8,1-8,8,8,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
78,1,9,1-9,9,9,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
79,1,10,1-10,10,10,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
80,1,11,1-11,11,11,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
81,1,12,1-12,12,12,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
82,1,13,1-13,13,13,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
83,1,14,1-14,14,14,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
84,1,15,1-15,15,15,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
85,1,16,1-16,16,16,0.012544922956408062,0.028810746350824867,0.008821035045205023,0.003938949368014011,0.01568627450980392,1.1071428571428572,9.0,1.5080565950512435,False,False,False,False,,
